"(5B01A1) Licence MATHÉMATIQUES INFORMATIQUE PHYSIQUE ET INGÉNIERIE 1";65;"Algèbre linéaire [CM] ";5B01A1-5BDALG1M;weeks;dmanuel;17
"(5B01A1) Licence MATHÉMATIQUES INFORMATIQUE PHYSIQUE ET INGÉNIERIE 1";65;"Algèbre linéaire [CM] ";5B01A1-5BDALG1M;weeks;thizyp;17
"(5B01A1) Licence MATHÉMATIQUES INFORMATIQUE PHYSIQUE ET INGÉNIERIE 1";65;"Algèbre linéaire [CM] ";5B01A1-5BDALG1M;weeks;iftimo;17
"(5B01A1) Licence MATHÉMATIQUES INFORMATIQUE PHYSIQUE ET INGÉNIERIE 1";65;"Algèbre linéaire [CM] ";5B01A1-5BDALG1M;weeks;martirod;17
"(7B12A1) DUT MÉTIERS DU MULTIMÉDIA ET DE L'INTERNET 1";66;"Production audiovisuelle - Semestre 1";7B12A1-7BFB1PRA;topics;vgruyer;9
"(2V01A1) Master ÉCONOMIE ANALYSE ÉCONOMIQUE 1";67;"UE Marchés financiers [UE]";2V01A1-2FUA31;topics;aheinen;2
"(2V01A1) Master ÉCONOMIE ANALYSE ÉCONOMIQUE 1";67;"UE Marchés financiers [UE]";2V01A1-2FUA31;topics;sravoisi;2
"(5B01C1) Licence BIOLOGIE ET INGÉNIERIE 1";68;"CM Structure et bases fonctionnelles des molécules du vivant [CM]";5B01C1-5BIMOL1M;topics;cpicot2;5
"(2B02B3) Licence ÉCONOMIE, FINANCE + DU ECE 3";69;"Econométrie CM et TD [UE]";2B02B3-2EIC5;topics;aheinen;6
"(2B02B3) Licence ÉCONOMIE, FINANCE + DU ECE 3";69;"Econométrie CM et TD [UE]";2B02B3-2EIC5;topics;mboucher;6
"(2B02B3) Licence ÉCONOMIE, FINANCE + DU ECE 3";69;"Econométrie CM et TD [UE]";2B02B3-2EIC5;topics;aclement;6
"(2V02D2) Master FINANCE GESTION DES RISQUES FINANCIERS 2";70;"Introduction aux séries temporelles [UE]";2V02D2-2FJG3;topics;aheinen;1
"(2V02D2) Master FINANCE GESTION DES RISQUES FINANCIERS 2";70;"Introduction aux séries temporelles [UE]";2V02D2-2FJG3;topics;rammant;1
"(2V02D2) Master FINANCE GESTION DES RISQUES FINANCIERS 2";70;"Introduction aux séries temporelles [UE]";2V02D2-2FJG3;topics;npotaill;1
"(2V01C2) Master ÉCONOMIE INGÉNIERIE ÉCONOMIQUE 2";71;"Econométrie des séries temporelles approfondie [UE]";2V01C2-2FCA3;topics;aheinen;1
"(2V01C2) Master ÉCONOMIE INGÉNIERIE ÉCONOMIQUE 2";71;"Econométrie des séries temporelles approfondie [UE]";2V01C2-2FCA3;topics;sravoisi;1
"(5V08C2) Master STPE ÉCO-CONSTRUCTION 2";72;"Eco-matériaux [CM]";5V08C2-5VBECM3M;topics;jpissarr;6
"(5V08C2) Master STPE ÉCO-CONSTRUCTION 2";73;"Bases techniques et phases d'un projet de construction [CM]";5V08C2-5VBBTP3M;topics;jpissarr;11
"15 : BROUILLONS";74;"Les Groupes et les Groupements";WBROU-GROUP;topics;nandriam;4
"15 : BROUILLONS";74;"Les Groupes et les Groupements";WBROU-GROUP;topics;cpers;4
